features,score
Default : update component usage statistics (S),0.0
Default : access the cache filesystem (S),0.0
Default : change screen orientation (S),0.0
Default : control location update notifications (S),0.0
Default : control system backup and restore (S),0.0
System tools : read subscribed feeds (S),0.0
System tools : mount and unmount filesystems (D),0.0
Default : delete other applications' data (S),0.0
System tools : modify global animation speed (D),0.0
Default : directly call any phone numbers (S),0.0
Default : directly install applications (S),0.0
System tools : delete all application cache data (D),0.0
